customerID,churn_probability,risk_level
7590-VHVEG,0.37,Medium Risk
5575-GNVDE,0.02,Low Risk
3668-QPYBK,0.82,High Risk
7795-CFOCW,0.0,Low Risk
9237-HQITU,0.83,High Risk
9305-CDSKC,0.95,High Risk
1452-KIOVK,0.18,Low Risk
6713-OKOMC,0.06,Low Risk
7892-POOKP,0.68,Medium Risk
6388-TABGU,0.01,Low Risk
9763-GRSKD,0.03,Low Risk
7469-LKBCI,0.02,Low Risk
8091-TTVAX,0.16,Low Risk
0280-XJGEX,0.8,High Risk
5129-JLPIS,0.46,Medium Risk
3655-SNQYZ,0.03,Low Risk
8191-XWSZG,0.05,Low Risk
9959-WOFKT,0.2,Low Risk
4190-MFLUW,0.68,Medium Risk
4183-MYFRB,0.49,Medium Risk
8779-QRDMV,1.0,High Risk
1680-VDCWW,0.01,Low Risk
1066-JKSGK,0.8833333333333334,High Risk
3638-WEABW,0.02,Low Risk
6322-HRPFA,0.04,Low Risk
6865-JZNKO,0.02,Low Risk
6467-CHFZW,0.81,High Risk
8665-UTDHZ,0.83,High Risk
5248-YGIJN,0.0,Low Risk
8773-HHUOZ,0.69,Medium Risk
3841-NFECX,0.01,Low Risk
4929-XIHVW,0.79,High Risk
6827-IEAUQ,0.04,Low Risk
7310-EGVHZ,0.2255,Low Risk
3413-BMNZE,0.16,Low Risk
6234-RAAPL,0.01,Low Risk
6047-YHPVI,0.8,High Risk
6572-ADKRS,0.23,Low Risk
5380-WJKOV,0.85,High Risk
8168-UQWWF,0.97,High Risk
8865-TNMNX,0.02,Low Risk
9489-DEDVP,0.04,Low Risk
9867-JCZSP,0.02,Low Risk
4671-VJLCL,0.0,Low Risk
4080-IIARD,0.13,Low Risk
3714-NTNFO,0.51,Medium Risk
5948-UJZLF,0.09,Low Risk
7760-OYPDY,0.96,High Risk
7639-LIAYI,0.0,Low Risk
2954-PIBKO,0.0,Low Risk
8012-SOUDQ,0.28,Low Risk
9420-LOJKX,0.51,Medium Risk
6575-SUVOI,0.05,Low Risk
7495-OOKFY,0.85,High Risk
4667-QONEA,0.03,Low Risk
1658-BYGOY,0.88,High Risk
8769-KKTPH,0.11,Low Risk
